commit	composite	pass_rate	avg_semantic	avg_rebus	status	description
70efc56	73.3	0.300	9.1	8.1	keep	baseline_results_20260321
0573e6e	73.2	0.300	9.0	8.1	uncertain	autoresearch/exp049 | add definition negative example UZ | system/definition.md
0bdd9d0	74.8	0.314	9.1	8.1	discard	autoresearch/exp049 | add definition negative example UZ | system/definition.md
0bdd9d0	78.9	0.357	9.1	8.0	discard	autoresearch/exp050 | add definition negative example ATU | system/definition.md
0bdd9d0	76.1	0.329	9.0	8.1	discard	autoresearch/exp051 | add definition negative example FLU | system/definition.md
0bdd9d0	78.7	0.357	9.0	8.0	discard	autoresearch/exp061 | add OF-type ambiguity counterexample to rate | system/rate.md
0bdd9d0	77.5	0.343	9.0	8.0	discard	autoresearch/exp062 | add ATU-type broad clue counterexample to rate | system/rate.md
0bdd9d0	75.8	0.329	9.0	8.0	discard	autoresearch/exp063 | add FLU semantically-right exact-bad counterexample to rate | system/rate.md
0bdd9d0	79.2	0.357	9.0	8.2	discard	autoresearch/exp039 | frame failure history as distractors to avoid | user/rewrite.md
0bdd9d0	77.6	0.343	9.0	8.1	keep	pilot_20260321/exp001 | shorten verify user counting sentence | user/verify.md
0bdd9d0	81.9	0.386	9.0	8.1	keep	pilot_20260321/exp002 | compress Romanian-only line in verify system | system/verify.md
0bdd9d0	70.7	0.271	9.1	8.2	discard	pilot_20260321/exp003 | remove do-not-rephrase line from verify system | system/verify.md
0bdd9d0	77.6	0.343	9.0	8.1	discard	pilot_20260321/exp004 | compress rare-sense lines in definition | system/definition.md
0bdd9d0	73.4	0.300	9.1	8.1	discard	pilot_20260321/exp005 | compress rare-sense lines in rewrite | system/rewrite.md
0bdd9d0	76.6	0.329	9.1	8.3	discard	pilot_20260321/exp006 | shorten creativity explanation in rate but keep RIAL | system/rate.md
0bdd9d0	74.7	0.314	9.0	8.1	discard	pilot_20260321/exp007 | shorten generate user final instruction | user/generate.md
0bdd9d0	77.3	0.343	8.9	8.1	discard	pilot_20260321/exp008 | remove alternate-valid-sense sentence from rewrite user | user/rewrite.md
0bdd9d0	76.5	0.329	9.1	8.2	discard	pilot_20260321/exp009 | fold diacritics counting into verify length step | system/verify.md
0bdd9d0	76.6	0.329	9.1	8.3	discard	pilot_20260321/exp010 | shorten precise-natural-max12 line in definition | system/definition.md
0bdd9d0	70.3	0.271	9.0	8.1	discard	pilot_20260321/exp011 | shorten numar variante in verify user | user/verify.md
